ID,Link,Left,Through,Right,laneID,length
11729,105089,1050911,1050861,0,1050891,15.82546874092543
11730,105089,0,0,0,1050892,15.825464172626814
11731,105092,0,0,1050833,1050923,413.68925353747505
11732,105092,0,1050881,0,1050922,422.5272170940613
11733,105092,0,0,0,1050921,431.3651803494319
11734,105095,0,1050992,1051063,1050952,627.8126140416496
11735,105095,1050961,1050991,0,1050951,629.1200482602859
11736,105140,0,1051351,0,1051402,243.63537305701047
11737,105140,1051311,0,0,1051401,242.00544996571878
11738,105140,0,0,0,1051403,240.3755273016503
11739,105094,0,1050891,1050923,1050941,625.1977496126141
11740,105096,1050441,1050681,0,1050961,1182.10039849343
11741,105096,0,1050682,0,1050962,1184.0144717791727
11742,105099,0,1016322,1016312,1050992,1079.6618749083661
11743,105099,1050741,1016321,0,1050991,1079.620257033975
11744,105106,0,1051001,0,1051062,383.1423755484166
11745,105106,0,0,0,1051061,383.12509719299464
11746,105106,0,0,0,1051063,383.1078188389677
11747,105100,0,0,1051082,1051006,63.19949081269502
11748,105100,0,1051021,0,1051002,67.78503037988646
11749,105100,0,1051022,0,1051003,72.37056964878823
11750,105100,0,0,0,1051001,76.95610861505779
11751,105100,0,0,0,1051004,81.54164728308007
11752,105100,0,0,0,1051005,86.12718564815808
11753,105107,0,1050962,1050992,1051072,383.1769322576973
11754,105107,1050941,1050961,0,1051071,383.19421061297555
11755,105102,1051091,1051111,0,1051021,103.00492909545348
11756,105102,0,1051112,0,1051022,105.89300063072557
11757,105108,1051151,1051161,0,1051081,254.13230338248388
11758,105108,0,1051162,0,1051082,254.96761830054675
11759,105101,1051021,1051081,0,1051011,14.1677453942256
11760,105101,0,1051082,0,1051012,14.167737341931327
11761,105104,0,1051071,0,1051042,69.41472096483493
11762,105104,0,1051072,0,1051043,72.71038475137392
11763,105104,1051001,0,0,1051041,76.00604788765718
11764,105104,0,0,0,1051044,79.30171037399883
11765,105104,0,0,0,1051045,82.59737221124887
11766,105104,0,0,0,1051046,85.89303339808478
11767,105109,1016341,1016381,0,1051091,193.2035451038484
