Id,nLane,tLinkID,FN,TN,linkID,freeflowsp,length,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,FREEFL1,FREEFL2,FREEFL3,FREEFL4,FREEFL5,FREEFL6,FREEFL7,FREEFL8,FREEFL9,FREEFL10,FREEFL11,FREEFL12,FREEFL13,FREEFL14,FREEFL15,FREEFL16,FREEFL17,FREEFL18,FREEFL19,FREEFL20,FREEFL21,FREEFL22,FREEFL23,FREEFL24,fid
100088,2.0,100087,969,986,100088,35,132.41872146012747,0,100090,0,1000881,1000882,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100088
100087,2.0,100088,986,969,100087,35,132.41872146012747,0,100084,0,1000871,1000872,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100087
100090,2.0,100089,986,992,100090,35,31.125624929174826,0,100091,0,1000901,1000902,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100090
100089,2.0,100090,992,986,100089,35,31.125624929174826,0,100087,0,1000891,1000892,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100089
100091,2.0,100092,992,996,100091,35,79.22888618571287,0,100093,0,1000911,1000912,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100091
100092,2.0,100091,996,992,100092,35,79.22888618571287,0,100089,0,1000921,1000922,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100092
100093,2.0,100094,996,1024,100093,35,245.52540817122144,0,100095,0,1000931,1000932,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100093
100094,2.0,100093,1024,996,100094,35,245.52540817122144,0,100092,0,1000941,1000942,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100094
100095,2.0,100096,1024,1047,100095,35,326.68697845856525,0,100097,0,1000951,1000952,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100095
100096,2.0,100095,1047,1024,100096,35,326.68697845856525,0,100094,0,1000961,1000962,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100096
100097,1.0,100098,1047,1061,100097,35,121.3878740584943,0,100099,0,1000971,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100097
100098,2.0,100097,1061,1047,100098,35,121.3878740584943,0,100096,0,1000981,1000982,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100098
100099,1.0,100100,1061,1105,100099,35,786.8370219587417,0,109604,0,1000991,0,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100099
100100,2.0,100099,1105,1061,100100,35,786.8370219587417,0,100098,0,1001001,1001002,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100100
109604,2.0,109603,1105,1108,109604,35,59.79148914241885,0,109602,0,1096041,1096042,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,109604
100102,2.0,100101,370,771,100102,35,3165.8296538424597,0,100047,0,1001021,1001022,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100102
100108,2.0,100109,370,368,100108,35,13.788524590525157,0,100110,0,1001081,1001082,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100108
100103,3.0,0,359,370,100103,35,146.39628790722196,0,100102,100108,1001031,1001032,1001033,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100103
100131,2.0,100132,359,269,100131,35,1214.377095819558,0,100130,0,1001311,1001312,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100131
100104,3.0,0,361,359,100104,35,127.52248902663985,0,100103,100131,1001041,1001042,1001043,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100104
100105,4.0,0,361,368,100105,35,22.779882774730353,0,100109,100110,1001051,1001052,1001053,1001054,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100105
100109,2.0,100108,368,370,100109,35,13.788524590525157,0,100102,0,1001091,1001092,0,0,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100109
100110,4.0,0,368,366,100110,35,10.656287111456653,100107,100113,100115,1001101,1001102,1001103,1001104,0,0,0,0,0,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,100110
