LinkID,LaneNum,RoadType,TLinkID,FnJunction,TnJunction,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,Length
104547,3.0,1.0,104643,4351,4349,0,104644,104642,1045471,1045472,1045473,0,0,0,0,0,0,94.29875448863154
104548,2.0,1.0,104503,4351,3994,104502,104501,0,1045481,1045482,0,0,0,0,0,0,0,373.70989876096775
104531,2.0,1.0,0,3880,3884,0,104419,0,1045311,1045312,0,0,0,0,0,0,0,32.79679315737878
104532,2.0,9.0,0,3715,3691,0,104579,104578,1045321,1045322,0,0,0,0,0,0,0,62.48783386778658
104533,2.0,1.0,0,3715,3674,104581,104580,0,1045331,1045332,0,0,0,0,0,0,0,104.61814340430782
104593,2.0,1.0,0,3948,4059,104596,104595,0,1045931,1045932,0,0,0,0,0,0,0,84.23539157544403
104594,2.0,1.0,0,3844,3776,104597,104598,0,1045941,1045942,0,0,0,0,0,0,0,79.36497894570884
104631,2.0,1.0,0,3926,4028,104239,104238,0,1046311,1046312,0,0,0,0,0,0,0,94.44033065013716
104632,2.0,1.0,0,3926,3975,0,104240,0,1046321,1046322,0,0,0,0,0,0,0,94.65774684554928
104633,4.0,1.0,104715,4097,3980,0,104714,0,1046331,1046332,1046333,1046334,0,0,0,0,0,182.70421462107095
104634,4.0,1.0,104716,4097,4258,104717,104718,0,1046341,1046342,1046343,1046344,0,0,0,0,0,134.5617201434255
104635,6.0,1.0,104512,4097,3901,0,104511,0,1046351,1046352,1046353,1046354,1046355,1046356,0,0,0,156.52740666278726
104636,2.0,1.0,0,4097,4207,0,104719,104720,1046361,1046362,0,0,0,0,0,0,0,174.49918427334813
104513,2.0,1.0,0,3517,3445,0,104160,0,1045131,1045132,0,0,0,0,0,0,0,83.11621241460018
104604,4.0,1.0,104611,36868,36871,0,104610,104612,1046041,1046042,1046043,1046044,0,0,0,0,0,83.50856304875464
104605,3.0,1.0,104520,36868,36758,104519,104518,104517,1046051,1046052,1046053,0,0,0,0,0,0,837.891343142315
104606,3.0,1.0,104514,36868,36832,0,104516,104515,1046061,1046062,1046063,0,0,0,0,0,0,1084.1016868776812
104607,3.0,1.0,0,36890,36930,104614,104613,0,1046071,1046072,1046073,0,0,0,0,0,0,281.80971645839327
104674,2.0,9.0,0,37059,37060,0,104754,0,1046741,1046742,0,0,0,0,0,0,0,20.720554799087086
104675,1.0,9.0,0,37066,37074,0,104755,0,1046751,0,0,0,0,0,0,0,0,114.18040794010079
104676,2.0,1.0,104522,37066,37077,0,104521,0,1046761,1046762,0,0,0,0,0,0,0,19.807670005032705
104525,2.0,1.0,0,3529,3562,0,104193,0,1045251,1045252,0,0,0,0,0,0,0,143.35737597065227
104526,4.0,2.0,0,3529,3636,104527,104528,0,1045261,1045262,1045263,1045264,0,0,0,0,0,423.5012142756423
