LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100220,3,0,595,574,35,0,100221,0,1002201,1002202,1002203,0,0,0,0,0,0
100188,3,0,570,597,35,0,100222,0,1001881,1001882,1001883,0,0,0,0,0,0
100195,4,0,570,593,35,0,100219,100192,1001951,1001952,1001953,1001954,0,0,0,0,0
100189,2,0,640,620,35,100186,100187,0,1001891,1001892,0,0,0,0,0,0,0
100193,2,0,640,596,35,100191,100196,0,1001931,1001932,0,0,0,0,0,0,0
100192,1,100191,593,596,35,0,100196,0,1001921,0,0,0,0,0,0,0,0
100219,3,0,593,574,35,0,100221,0,1002191,1002192,1002193,0,0,0,0,0,0
100191,2,100192,596,593,35,0,100219,0,1001911,1001912,0,0,0,0,0,0,0
100196,1,0,596,595,35,0,100220,0,1001961,0,0,0,0,0,0,0,0
100194,2,0,616,583,65,100172,100203,0,1001941,1001942,0,0,0,0,0,0,0
100198,2,0,616,558,45,100208,100212,0,1001981,1001982,0,0,0,0,0,0,0
100208,2,0,558,499,45,0,100207,0,1002081,1002082,0,0,0,0,0,0,0
100212,3,0,558,548,45,100214,100217,0,1002121,1002122,1002123,0,0,0,0,0,0
100199,2,0,552,567,45,0,100211,0,1001991,1001992,0,0,0,0,0,0,0
100204,2,0,552,546,45,0,100202,0,1002041,1002042,0,0,0,0,0,0,0
100211,2,0,567,570,35,100195,100188,0,1002111,1002112,0,0,0,0,0,0,0
100202,3,0,546,521,45,100205,100206,0,1002021,1002022,1002023,0,0,0,0,0,0
100205,3,0,521,485,45,100138,100130,0,1002051,1002052,1002053,0,0,0,0,0,0
100206,1,100207,521,499,45,0,0,0,1002061,0,0,0,0,0,0,0,0
100207,1,100206,499,521,45,0,100205,0,1002071,0,0,0,0,0,0,0,0
100210,2,0,549,539,45,0,100231,0,1002101,1002102,0,0,0,0,0,0,0
100213,2,0,549,533,45,0,100224,0,1002131,1002132,0,0,0,0,0,0,0
100231,3,0,539,451,35,100135,100132,0,1002311,1002312,1002313,0,0,0,0,0,0
100214,2,0,548,539,45,0,100231,0,1002141,1002142,0,0,0,0,0,0,0
100217,1,0,548,533,45,0,100224,0,1002171,0,0,0,0,0,0,0,0
100224,2,0,533,514,45,0,100226,0,1002241,1002242,0,0,0,0,0,0,0
100215,2,0,543,523,35,0,100225,0,1002151,1002152,0,0,0,0,0,0,0
100218,2,0,543,567,35,0,100211,0,1002181,1002182,0,0,0,0,0,0,0
100225,2,0,523,514,35,0,100226,0,1002251,1002252,0,0,0,0,0,0,0
100216,2,0,517,539,35,0,100231,0,1002161,1002162,0,0,0,0,0,0,0
100228,2,0,517,523,35,0,100225,0,1002281,1002282,0,0,0,0,0,0,0
100221,4,0,574,547,35,0,100223,0,1002211,1002212,1002213,1002214,0,0,0,0,0
100223,4,0,547,543,35,100218,100215,0,1002231,1002232,1002233,1002234,0,0,0,0,0
100226,2,0,514,462,35,100227,100232,0,1002261,1002262,0,0,0,0,0,0,0
100227,3,0,462,458,35,100134,100131,0,1002271,1002272,1002273,0,0,0,0,0,0
100232,2,0,462,434,35,0,100124,0,1002321,1002322,0,0,0,0,0,0,0
100235,4,0,667,616,65,100194,100198,0,1002351,1002352,1002353,1002354,0,0,0,0,0
100236,3,0,667,640,45,100193,100189,0,1002361,1002362,1002363,0,0,0,0,0,0
100238,2,0,780,775,45,0,100305,0,1002381,1002382,0,0,0,0,0,0,0
100257,3,0,780,766,65,0,100259,0,1002571,1002572,1002573,0,0,0,0,0,0
100305,3,0,775,768,35,100256,100258,0,1003051,1003052,1003053,0,0,0,0,0,0
100239,3,0,781,667,65,100235,100236,0,1002391,1002392,1002393,0,0,0,0,0,0
100240,3,0,988,926,45,0,100255,0,1002401,1002402,1002403,0,0,0,0,0,0
108727,2,0,988,807,45,0,100270,0,1087271,1087272,0,0,0,0,0,0,0
100255,2,0,926,807,35,0,100270,0,1002551,1002552,0,0,0,0,0,0,0
100241,3,0,851,894,45,0,100247,0,1002411,1002412,1002413,0,0,0,0,0,0
100246,3,0,851,975,65,0,108721,0,1002461,1002462,1002463,0,0,0,0,0,0
100247,3,0,894,921,35,0,100245,100417,1002471,1002472,1002473,0,0,0,0,0,0
100242,3,0,790,851,65,100246,100241,0,1002421,1002422,1002423,0,0,0,0,0,0
100243,2,0,983,892,45,0,100253,0,1002431,1002432,0,0,0,0,0,0,0
100250,3,0,983,819,35,100251,100269,0,1002501,1002502,1002503,0,0,0,0,0,0
100253,4,0,892,791,65,100281,100268,0,1002531,1002532,1002533,1002534,0,0,0,0,0
100244,3,0,927,975,45,0,108721,0,1002441,1002442,1002443,0,0,0,0,0,0
108720,3,0,927,1116,35,0,108718,0,1087201,1087202,1087203,0,0,0,0,0,0
108721,4,0,975,1044,65,108717,108719,0,1087211,1087212,1087213,1087214,0,0,0,0,0
100245,3,0,921,927,35,100244,108720,0,1002451,1002452,1002453,0,0,0,0,0,0
100417,2,100418,921,898,35,0,100422,100420,1004171,1004172,0,0,0,0,0,0,0
100248,3,0,769,817,35,100252,100249,0,1002481,1002482,1002483,0,0,0,0,0,0
100254,2,0,769,790,45,0,100242,0,1002541,1002542,0,0,0,0,0,0,0
100249,3,0,817,894,35,0,100247,0,1002491,1002492,1002493,0,0,0,0,0,0
100252,2,100251,817,819,35,0,100269,0,1002521,1002522,0,0,0,0,0,0,0
100251,2,100252,819,817,35,0,100249,0,1002511,1002512,0,0,0,0,0,0,0
100269,3,0,819,764,35,0,100339,0,1002691,1002692,1002693,0,0,0,0,0,0
100268,3,0,791,764,45,0,100339,0,1002681,1002682,1002683,0,0,0,0,0,0
100281,3,0,791,650,65,0,100358,0,1002811,1002812,1002813,0,0,0,0,0,0
100270,5,0,807,763,35,100266,100265,0,1002701,1002702,1002703,1002704,1002705,0,0,0,0
100256,3,0,768,786,35,100306,100307,0,1002561,1002562,1002563,0,0,0,0,0,0
100258,2,0,768,766,45,0,100259,0,1002581,1002582,0,0,0,0,0,0,0
100306,3,0,786,775,35,0,100305,0,1003061,1003062,1003063,0,0,0,0,0,0
100307,2,0,786,781,45,0,100239,0,1003071,1003072,0,0,0,0,0,0,0
100259,4,0,766,742,65,100262,100303,0,1002591,1002592,1002593,1002594,0,0,0,0,0
100262,3,0,742,718,65,0,100286,0,1002621,1002622,1002623,0,0,0,0,0,0
100303,4,0,742,721,45,100302,100304,0,1003031,1003032,1003033,1003034,0,0,0,0,0
100260,3,0,738,781,65,0,100239,0,1002601,1002602,1002603,0,0,0,0,0,0
100261,3,0,723,694,45,100300,100301,0,1002611,1002612,1002613,0,0,0,0,0,0
100264,4,0,723,738,65,0,100260,0,1002641,1002642,1002643,1002644,0,0,0,0,0
100300,2,0,694,687,45,0,100299,0,1003001,1003002,0,0,0,0,0,0,0
100301,2,0,694,688,45,0,100296,0,1003011,1003012,0,0,0,0,0,0,0
100286,4,0,718,716,65,100285,100284,0,1002861,1002862,1002863,1002864,0,0,0,0,0
100263,2,0,705,718,45,0,100286,0,1002631,1002632,0,0,0,0,0,0,0
100287,3,0,705,670,35,0,100295,0,1002871,1002872,1002873,0,0,0,0,0,0
100265,3,0,763,738,45,0,100260,0,1002651,1002652,1002653,0,0,0,0,0,0
100266,5,0,763,705,35,100287,100263,0,1002661,1002662,1002663,1002664,1002665,0,0,0,0
