LaneID,LinkID,Left,Through,Right,Length(m)
1071401,107140,0,1071421,0,14.55456098
1071412,107141,0,1076811,0,119.5804167
1071413,107141,0,1076812,0,119.6944839
1071411,107141,1076721,0,0,119.8085511
1071414,107141,0,0,0,119.9226183
1071383,107138,0,0,1071372,714.0321794
1071382,107138,0,1071411,0,714.0301717
1071381,107138,1071401,0,0,714.0281639
1071642,107164,0,1071621,0,16.43147948
1071643,107164,0,1071622,0,16.41222091
1071641,107164,1071611,0,0,16.39296234
1071644,107164,0,0,0,16.37370375
1071391,107139,1071411,1071371,0,14.49665062
1071392,107139,0,1071372,0,14.46769547
1071423,107142,0,0,1071625,713.9379277
1071422,107142,0,1071611,0,714.0749558
1071421,107142,0,0,0,714.2119838
1071612,107161,0,1071581,0,20.62591703
1071613,107161,0,1071582,0,20.59479097
1071611,107161,1071601,0,0,20.56366491
1071614,107161,0,0,0,20.53253885
1071624,107162,0,1073761,0,168.6907136
1071622,107162,0,1073762,0,168.6654556
1071621,107162,1071431,0,0,168.6401976
1071623,107162,0,0,0,168.6149396
1071625,107162,0,0,0,168.5896815
1071431,107143,0,1075601,0,303.8365843
1071432,107143,0,1075602,0,303.5190753
1073761,107376,1073771,1075651,0,768.419584
1073762,107376,0,1075652,0,768.6957711
1075602,107560,0,1075611,0,1167.501118
1075601,107560,1075571,0,0,1167.732127
1075603,107560,0,0,0,1167.963137
1071441,107144,0,1071461,0,247.6086806
1071442,107144,0,1071462,0,235.084548
1071801,107180,0,1071901,0,1386.039805
1071802,107180,0,1071902,0,1388.075124
1071462,107146,0,1071591,0,116.7453839
1071461,107146,0,0,0,115.9117367
1071463,107146,0,0,0,115.0780901
1071451,107145,0,1071461,0,111.2733042
1071452,107145,0,1071462,0,112.2119
1071502,107150,0,1071522,1073752,187.9659597
1071501,107150,0,1071521,0,187.8257285
1071595,107159,0,0,1071584,128.206298
1071592,107159,0,1071601,0,128.3166288
1071593,107159,0,1071602,0,128.4269594
1071594,107159,0,1071603,0,128.53729
1071591,107159,0,0,0,128.6476204
1071471,107147,0,1071591,0,205.5899843
1071472,107147,0,1071592,0,200.4756896
1071481,107148,0,1075601,0,286.0300455
1071482,107148,0,1075602,0,287.5366674
1071491,107149,0,1071451,0,188.2464221
1071492,107149,0,1071452,0,188.3866533
1071521,107152,0,1071531,0,205.2762207
1071522,107152,0,1071532,0,205.3025822
1073751,107375,0,1075721,0,571.0400678
1073752,107375,0,1075722,0,571.0974441
1071512,107151,0,1073752,1071492,205.2234977
1071511,107151,0,1073751,0,205.1971361
1071532,107153,0,1071551,0,166.8802375
1071531,107153,1071561,0,0,166.915771
1071533,107153,0,0,0,166.9513044
1071534,107153,0,0,0,166.9868379
1071551,107155,0,1071541,0,85.82414498
1071561,107156,0,1071741,0,52.23885861
1071562,107156,0,1071742,0,52.17926285
1071541,107154,0,1072981,0,69.39875522
1071542,107154,0,1072982,0,69.4770769
1072982,107298,0,1072972,1072994,1966.320363
1072981,107298,0,1072971,0,1965.411366
1071741,107174,0,1072981,0,125.2522431
1071742,107174,0,1072982,0,125.2240491
1071571,107157,0,1071741,0,98.15937696
1071572,107157,0,1071742,0,98.6706302
1072702,107270,0,1072721,0,2180.03948
1072701,107270,1072711,0,0,2179.237851
1072703,107270,0,0,0,2178.436221
1071582,107158,0,1071571,0,177.1463562
1071583,107158,0,1071572,0,176.9494047
1071581,107158,1072701,0,0,176.7524531
1071584,107158,0,0,0,176.5555016
1071602,107160,0,1071731,0,17.97290767
1071603,107160,0,1071732,0,18.10684865
1071604,107160,0,1071733,0,18.24078954
1071601,107160,1071631,0,0,18.37473032
1071605,107160,0,0,0,18.50867101
1071632,107163,0,1071381,0,21.63809322
1071633,107163,0,1071382,0,21.59261724
1071631,107163,1071641,0,0,21.54714125
1071634,107163,0,0,0,21.50166527
1071735,107173,0,0,1071793,337.3960026
1071732,107173,0,1071701,0,337.4352339
1071733,107173,0,1071702,0,337.4744652
1071734,107173,0,1071703,0,337.5136965
1071731,107173,0,0,0,337.5529278
1071654,107165,0,0,1071383,347.8335515
1071652,107165,0,1071641,0,347.8895048
1071653,107165,0,1071642,0,347.9454581
1071651,107165,0,0,0,348.0014115
1071722,107172,0,1071791,0,19.88890315
1071721,107172,1071701,0,0,19.8008826
1071723,107172,0,0,0,19.71286206
1071672,107167,0,1071142,1071093,440.1102944
1071671,107167,1071281,1071141,0,439.5521909
1071682,107168,0,1071651,0,12.27438069
1071683,107168,0,1071652,0,12.11178082
1071681,107168,1071721,0,0,11.94918083
1071684,107168,0,0,0,11.78658072
1071694,107169,0,0,1071672,190.6637559
1071692,107169,0,1071681,0,190.5940404
1071693,107169,0,1071682,0,190.5243247
1071691,107169,0,0,0,190.4546091
1071952,107195,0,1071921,0,16.44523385
1071951,107195,1071961,0,0,16.30008936
1071953,107195,0,0,0,16.15494488
1071702,107170,0,1071941,0,12.81774216
1071703,107170,0,1071942,0,12.81924627
1071701,107170,1071711,0,0,12.82075039
1071704,107170,0,0,0,12.8222545
1071792,107179,0,1072441,0,543.6793429
1071791,107179,0,0,0,546.0648289
1071793,107179,0,0,0,548.4503148
1071711,107171,1071681,1071671,0,18.95413027
1071712,107171,0,1071672,0,18.72803965
1071944,107194,0,0,1071923,195.7370714
1071942,107194,0,1071961,0,195.7800786
1071943,107194,0,1071962,0,195.8230856
